1036,185,205,812
3833,33,49,811
4009,46,44,810
4006,74,71,1037,1
4006,57,71,1037,1
4006,56,53,1037,1
4006,74,57,1037,1
4003,42,64,810,1
4008,46,68,810,1
4006,44,62,810,1
4020,73,98,811,1
4000,40,66,810,1
4020,73,88,8
4020,71,77,8
4020,72,82,8
1015,693,519,18
1015,774,606,18
1015,774,526,18
1015,693,606,18
1015,338,224,18
1000,470,331,18
1000,478,341,18
1000,490,332,18
1000,476,318,18
1000,465,676,18
1000,506,684,18
1000,533,654,18
1000,533,626,18
1020,473,541,18
1020,543,885,18
1020,27,375,18
1020,451,463,18
1020,553,607,18
1020,574,607,18
1000,465,676,18
1000,506,684,18
1000,533,654,18
1000,533,626,18
1020,563,597,1063
1020,563,594,1063
1020,563,591,1063
1020,563,577,1063
1020,563,574,1063
1020,563,571,1063
1020,573,597,1063
1020,573,594,1063
1020,573,591,1063
1020,573,577,1063
1020,573,574,1063
1020,573,571,1063
1020,579,588,1063
1020,579,580,1063
1011,204,274,1063
1011,194,261,1063
1011,187,259,1063
1011,181,263,1063
1011,177,270,1063
1011,180,279,1063
1011,190,286,1063
1011,210,268,1063
1011,217,265,1063
1011,215,257,1063
1011,205,258,1063
1000,506,656,1063
1000,506,647,1063
1000,506,637,1063
1000,496,637,1063
1000,487,637,1063
1000,487,647,1063
1000,487,656,1063
1000,497,656,1063
1000,521,652,1063
1000,513,653,1063
1000,513,664,1063
1000,502,664,1063
1000,491,664,1063
1000,482,664,1063
1015,714,581,1063
1015,719,586,1063
1015,727,586,1063
1015,733,581,1063
1015,733,565,1063
1015,727,560,1063
1015,718,560,1063
1015,716,565,1063
1015,740,568,1063
1015,740,574,1063
1002,292,294,1063
1002,292,284,1063
1002,292,274,1063
1002,292,264,1063
1002,298,258,1063
1002,308,258,1063
1002,318,225,1063
1002,328,258,1063
1002,335,294,1063
1002,335,284,1063
1002,335,275,1063
1002,335,264,1063
1002,298,300,1063
1002,308,300,1063
1002,318,300,1063
1002,328,300,1063
1002,279,253,1063
1002,257,271,1063
1002,245,240,1063
1002,279,259,1063
1002,251,239,1063
1002,253,231,1063
1002,244,231,1063
1002,344,301,1063
1002,344,284,1063
1002,344,267,1063
1002,342,245,1063
1020,445,78,145055
1002,323,245,1063
1002,344,292,1063
1002,344,276,1063
1002,344,259,1063
1002,334,245,1063
1002,315,245,1063
1020,353,253,721262
1020,447,79,0
1002,270,215,0
1002,357,304,0
1002,247,291,1063
1002,247,298,1063
1002,247,305,1063
1002,279,313,1063
1002,255,305,1063
1002,263,305,1063
1002,271,305,1063
1020,328,254,729088
1002,279,305,1063
1002,279,320,1063
1002,287,320,1063
9972,68,68,1032
9972,60,69,1032
9972,43,68,1032
9972,51,69,1032
9972,68,43,1032
9972,69,51,1032
9972,69,60,1032
9972,42,51,1032
9972,43,43,1032
9972,51,42,1032
9972,60,42,1032
9972,42,60,1032
1806,80,89,993
1806,76,95,994
1806,91,77,994
1806,80,89,993
1806,95,81,993
1806,97,74,797
1806,106,99,719
1806,78,100,728
1806,98,118,994
1806,99,112,717
1806,107,75,994
1806,108,109,993
1806,115,99,994
1806,115,92,723
1806,107,75,994
1020,553,607,18
1020,574,607,18
1020,380,49,18
10137,125,364,1675
10137,142,467,1674
5000,69,81,1713
